ReviewBucket                                                                                                                     USER_TABLE                                                  
ReviewBucketImportRun                                                                                                            USER_TABLE                                                  
ReviewBucketItem                                                                                                                 USER_TABLE                                                  
ReviewPhase                                                                                                                      USER_TABLE                                                  
RfsKey                                                                                                                           USER_TABLE                                                  
SavedUserSearch                                                                                                                  USER_TABLE                                                  
SearchEngineLoad                                                                                                                 USER_TABLE                                                  
SearchPartition                                                                                                                  USER_TABLE                                                  
SearchStore                                                                                                                      USER_TABLE                                                  
SearchStoreInstance                                                                                                              USER_TABLE                                                  
SecurityGroup                                                                                                                    USER_TABLE                                                  
SecurityGroupMembership                                                                                                          USER_TABLE                                                  
SegmentMergeDetails                                                                                                              USER_TABLE                                                  
SegmentMergeJob                                                                                                                  USER_TABLE                                                  
SelectiveArchiveItems                                                                                                            USER_TABLE                                                  
SelectiveArchiveRuns                                                                                                             USER_TABLE                                                  
SelectiveArchiveSearch                                                                                                           USER_TABLE                                                  
SharedMailboxPrivileges                                                                                                          USER_TABLE                                                  
ShortUrl                                                                                                                         USER_TABLE                                                  
Site                                                                                                                             USER_TABLE                                                  
SiteMachine                                                                                                                      USER_TABLE                                                  
SlackArchiveRuns                                                                                                                 USER_TABLE                                                  
SlackConversation                                                                                                                USER_TABLE                                                  
SlackMembership                                                                                                                  USER_TABLE                                                  
SlackTeam                                                                                                                        USER_TABLE                                                  
StagedAttachment                                                                                                                 USER_TABLE                                                  
StorageAuditTrail                                                                                                                USER_TABLE                                                  
StorageContainerLog                                                                                                              USER_TABLE                                                  
StorageFolder                                                                                                                    USER_TABLE                                                  
StorageFolderProp                                                                                                                USER_TABLE                                                  
StorageItem                                                                                                                      USER_TABLE                                                  
StorageItemLink                                                                                                                  USER_TABLE                                                  
StorageItemPart                                                                                                                  USER_TABLE                                                  
StorageItemRelationship                                                                                                          USER_TABLE                                                  
StorageItemSisHeader                                                                                                             USER_TABLE                                                  
StorageItemStats                                                                                                                 USER_TABLE                                                  
StorageItemVersion                                                                                                               USER_TABLE                                                  
StorageProject                                                                                                                   USER_TABLE                                                  
StorageProjectPrivileges                                                                                                         USER_TABLE                                                  
StorageUserSubscription                                                                                                          USER_TABLE                                                  
StorageViolation                                                                                                                 USER_TABLE                                                  
StorageViolationTranscript                                                                                                       USER_TABLE                                                  
StorageZone                                                                                                                      USER_TABLE                                                  
SupplementalMarkings                                                                                                             USER_TABLE                                                  
SurveyForm                                                                                                                       USER_TABLE                                                  
SurveyFormObject                                                                                                                 USER_TABLE                                                  
SurveyFormVersion                                                                                                                USER_TABLE                                                  
SyncState                                                                                                                        USER_TABLE                                                  
SystemAudit                                                                                                                      USER_TABLE                                                  
SystemLock                                                                                                                       USER_TABLE                                                  
SystemRepeat                                                                                                                     USER_TABLE                                                  
TaskDriverRuns                                                                                                                   USER_TABLE                                                  
TaskDrivers                                                                                                                      USER_TABLE                                                  
TaskStatus                                                                                                                       USER_TABLE                                                  
Tenant                                                                                                                           USER_TABLE                                                  
TenantHost                                                                                                                       USER_TABLE                                                  
TextItemRetry                                                                                                                    USER_TABLE                                                  
TiPartition                                                                                                                      USER_TABLE                                                  
TLSCertificate                                                                                                                   USER_TABLE                                                  
TQueue                                                                                                                           USER_TABLE                                                  
TQueueMsg                                                                                                                        USER_TABLE                                                  
TQueueObject                                                                                                                     USER_TABLE                                                  
TracItem                                                                                                                         USER_TABLE                                                  
TracItemDelete                                                                                                                   USER_TABLE                                                  
TrackerAuditTrail                                                                                                                USER_TABLE                                                  
TrackerEntity                                                                                                                    USER_TABLE                                                  
TrackerItemStats                                                                                                                 USER_TABLE                                                  
TrackerProject                                                                                                                   USER_TABLE                                                  
TrackerProjectPrivileges                                                                                                         USER_TABLE                                                  
TrackerSavedSearch                                                                                                               USER_TABLE                                                  
TriggerAddress                                                                                                                   USER_TABLE                                                  
UCItem                                                                                                                           USER_TABLE                                                  
UContext                                                                                                                         USER_TABLE                                                  
UContextAuditTrail                                                                                                               USER_TABLE                                                  
UContextDataSource                                                                                                               USER_TABLE                                                  
UContextDataSourceIndexRuns                                                                                                      USER_TABLE                                                  
UContextDataSourceRuns                                                                                                           USER_TABLE                                                  
UContextLiteSearch                                                                                                               USER_TABLE                                                  
UContextLiteSearchRuns                                                                                                           USER_TABLE                                                  
UContextSearch                                                                                                                   USER_TABLE                                                  
UserActivity                                                                                                                     USER_TABLE                                                  
UserAuthentication                                                                                                               USER_TABLE                                                  
UserDiscovery                                                                                                                    USER_TABLE                                                  
UserDiscoveryExclusion                                                                                                           USER_TABLE                                                  
UserGeoTags                                                                                                                      USER_TABLE                                                  
UserLicense                                                                                                                      USER_TABLE                                                  
UserMailComplianceStat                                                                                                           USER_TABLE                                                  
UserRecordDeclaration                                                                                                            USER_TABLE                                                  
UserRoles                                                                                                                        USER_TABLE                                                  
UserRVite                                                                                                                        USER_TABLE                                                  
UserSchema                                                                                                                       USER_TABLE                                                  
UserSchemaFields                                                                                                                 USER_TABLE                                                  
UserSearch                                                                                                                       USER_TABLE                                                  
UserSession                                                                                                                      USER_TABLE                                                  
UserTagContext                                                                                                                   USER_TABLE                                                  
UTag                                                                                                                             USER_TABLE                                                  
VaultContainerRefCount                                                                                                           USER_TABLE                                                  
VaultItem                                                                                                                        USER_TABLE                                                  
VaultItemStats                                                                                                                   USER_TABLE                                                  
VaultReplication                                                                                                                 USER_TABLE                                                  
WordList                                                                                                                         USER_TABLE                                                  
WordListEntry                                                                                                                    USER_TABLE                                                  
WordListHistory                                                                                                                  USER_TABLE                                                  
WorkflowTask                                                                                                                     USER_TABLE                                                  
